algorithm,gid,dataset,seed,status,valid_output,seconds,train_nmse,valid_nmse,id_test_nmse,ood_test_nmse,metric_complete,noise_sigma
e2esr,g0043,CRK33,1,ok,True,391.151,0.03780493101356489,0.03227320751623832,0.03216363203074855,337.42911227985024,True,0.05
qlattice,g0012,feynman_I_27_6,0,ok,True,391.45,0.0013540514142561975,0.0013429204953772519,0.0013708862758245277,0.004413310599753504,True,0.1
e2esr,g0028,feynman-ii.4.23,2,ok,True,391.734,0.0021283559049553404,0.0022092545925807235,0.002141809888219955,0.003185508282112032,True,0.01
qlattice,g0023,I.11.19_4_0,0,ok,True,391.821,0.0464850807465977,0.04732939698441645,0.04665447079015153,0.07219527646553536,True,0.01
qlattice,g0001,II.34.2_1_0,3,ok,True,392.379,0.00011370980239972661,0.00011403906409977637,0.00011417787226352958,0.0003592517988028088,True,0.1
e2esr,g0047,BPG5,3,ok,True,393.039,0.6962040839265141,0.509609267323773,0.5675111075459074,16.343305896118764,True,0.01
qlattice,g0001,II.34.2_1_0,1,ok,True,393.127,0.0003448406746748155,0.0003413403472185929,0.00034997189873379575,0.00016040580307078199,True,0.05
e2esr,g0027,feynman_I_12_11,2,ok,True,393.346,0.0008160983314066756,0.0008301776187788423,0.0008060355988138866,0.004622827429230912,True,0.01
tpsr,g0050,BPG9,3,ok,True,393.746,0.9022037943563299,0.9229481781829327,0.8855874194919853,387.17649145820917,True,0.1
e2esr,g0028,feynman-ii.4.23,2,ok,True,393.899,0.0387884173516184,0.0436742048247687,0.03743817391939203,0.13052073066854733,True,0.05
e2esr,g0031,II.11.27_1_0,3,ok,True,393.941,0.9862425435243746,0.9486453745590175,0.9818296344835215,1.008025485021608,True,0.05
tpsr,g0009,Nguyen-6,2,ok,True,394.471,0.00597486136373065,0.09178779079251914,0.00944859482521561,0.3647006826477242,True,0.05
qlattice,g0023,I.11.19_4_0,2,ok,True,396.176,0.019359842447930483,0.018581190936965395,0.019435771696105244,0.07461831185700117,True,0.01
e2esr,g0030,feynman-iii.7.38,4,ok,True,396.223,0.0017569827124607085,0.001836537645932898,0.0021091733340125943,8.15460112048025e-05,True,0.05
e2esr,g0038,PO19,1,ok,True,396.632,0.058099215656635395,0.05000139550671985,0.0594256021219313,6720944.72138624,True,0.05
e2esr,g0001,II.34.2_1_0,4,ok,True,396.76,0.0003915006530098771,0.0003826070111402097,0.00039184934320857175,0.0007981444509589927,True,0.01
e2esr,g0028,feynman-ii.4.23,0,ok,True,396.891,0.14500635370453444,0.1563327563258356,0.15095309374952012,0.3647571611863324,True,0.1
qlattice,g0001,II.34.2_1_0,3,ok,True,397.051,0.001967281158605301,0.002293345211473158,0.0019840723179153277,0.09098701610480825,True,0.05
qlattice,g0012,feynman_I_27_6,0,ok,True,397.099,0.0018856475799573836,0.001876875957323497,0.0018476263964751559,0.01949789712537708,True,0.05
e2esr,g0015,III.21.20_3_0,0,ok,True,397.422,0.008302228480632792,0.00857730195063822,0.008417975400764988,1.076907431568953,True,0.01
e2esr,g0023,I.11.19_4_0,2,ok,True,397.635,0.0011194254444655935,0.0011703901799274762,0.0011099143784550503,0.006044163547952573,True,0.01
qlattice,g0026,strogatz_barmag1,3,ok,True,397.647,0.005991619944739562,0.009450660187224836,0.006769732721740656,0.08587291058051462,True,0.05
e2esr,g0012,feynman_I_27_6,4,ok,True,397.749,0.008503348804586771,0.008740399205788599,0.008533205289183486,0.04853302307266776,True,0.1
e2esr,g0001,II.34.2_1_0,3,ok,True,398.136,0.0005115182429572567,0.0005550428639730426,0.0005013024731952223,0.004036370862602973,True,0.01
tpsr,g0024,strogatz_predprey2,4,ok,True,398.232,0.3500075835770276,0.20872170270598633,0.2517476060360294,0.5575699760867749,True,0.05
qlattice,g0015,III.21.20_3_0,0,ok,True,398.329,0.06130456781530441,0.055417835196760995,0.06839170717263586,0.9997341330144731,True,0.01
e2esr,g0012,feynman_I_27_6,2,ok,True,398.729,0.0024537567841597975,0.0024392034467112553,0.002491981425277257,0.015216003174736346,True,0.01
qlattice,g0001,II.34.2_1_0,3,ok,True,398.868,3.375582712041536e-05,3.327415389406713e-05,3.3726100753094766e-05,1.2384054195617151e-05,True,0.01
qlattice,g0012,feynman_I_27_6,0,ok,True,400.334,0.0010938690005387632,0.001092980866889447,0.0011124630109599389,0.004279842893688491,True,0.01
e2esr,g0012,feynman_I_27_6,1,ok,True,400.732,0.007240900891752163,0.007275721066466846,0.0070362988163411265,0.03436491062846081,True,0.05
qlattice,g0001,II.34.2_1_0,4,ok,True,400.743,0.00045246160532299933,0.0004457953178340693,0.00045468595715147665,0.00015790989139876618,True,0.1
e2esr,g0047,BPG5,2,ok,True,401.014,0.6788840702384884,0.6656104724167152,0.6875487762655332,0.9866858930545762,True,0.01
tpsr,g0036,CRK10,3,ok,True,401.105,0.14927275755565889,0.14735549325077849,0.13881996039718209,218.7169649820803,True,0.01
e2esr,g0027,feynman_I_12_11,0,ok,True,401.385,0.014485183129242565,0.014656670401491627,0.014635205467937458,0.10185433991549647,True,0.1
tpsr,g0049,BPG3,3,ok,True,401.425,0.13814858301381674,0.13327779954444385,0.15546634767623066,436891903.82398546,True,0.05
qlattice,g0023,I.11.19_4_0,3,ok,True,401.937,0.016946793606351592,0.01666940657220575,0.016825853894007307,0.07228780260865557,True,0.01
tpsr,g0003,feynman-ii.27.18,1,ok,True,402.491,0.7823628839508888,0.7870258248589974,0.7680216173002635,0.8438606056770992,True,0.05
qlattice,g0023,I.11.19_4_0,3,ok,True,402.777,0.01680264326459574,0.0167085253905067,0.016720515677250664,0.062185822656949524,True,0.1
tpsr,g0039,CRK0,2,ok,True,402.919,0.8973745614029416,0.9028880346405828,0.8811476631965439,89.8464045153358,True,0.01
e2esr,g0030,feynman-iii.7.38,1,ok,True,403.327,0.004396316263127664,0.004485536153981631,0.005053593572819659,0.005200358472574461,True,0.1
e2esr,g0027,feynman_I_12_11,2,ok,True,403.36,0.025410263093567878,0.025939600144614446,0.024104704717881547,0.02036861202087677,True,0.1
e2esr,g0027,feynman_I_12_11,2,ok,True,403.58,0.002394163903993562,0.002439886167674427,0.002446635795482803,0.010122557821560093,True,0.05
qlattice,g0007,Korns-2,2,ok,True,403.694,0.07030016226436468,1.0594065053849926,1.0430816638758,1.886509580730225,True,0.01
qlattice,g0015,III.21.20_3_0,3,ok,True,403.732,0.03762364943656226,0.04717861403920924,0.03722352293578544,0.9997985288284124,True,0.05
qlattice,g0023,I.11.19_4_0,0,ok,True,403.791,0.01796247994487524,0.018158174618712546,0.017862583184464126,0.07826604324776065,True,0.1
qlattice,g0012,feynman_I_27_6,3,ok,True,404.496,0.000969012437888059,0.0009755643827708765,0.000963425310677266,0.002264220724565544,True,0.01
qlattice,g0023,I.11.19_4_0,2,ok,True,405.373,0.018205102614943822,0.018807254016230575,0.01796237176614235,0.08314108488310892,True,0.1
e2esr,g0047,BPG5,4,ok,True,405.648,0.12612396778831614,0.15652903522513398,0.1224435548698721,2047.4188370947522,True,0.05
tpsr,g0024,strogatz_predprey2,0,ok,True,405.969,0.18717158717494287,0.07340997843248144,0.12262477402480468,0.6710464213572914,True,0.1
e2esr,g0001,II.34.2_1_0,4,ok,True,406.412,0.0034028112962834534,0.00332648292341232,0.0033766364720727183,0.0016087208563322214,True,0.05
qlattice,g0023,I.11.19_4_0,3,ok,True,406.655,0.016778290938560515,0.01688676647817851,0.01683043999420985,0.0611151591638062,True,0.05
qlattice,g0031,II.11.27_1_0,0,ok,True,407.201,0.736102952137309,0.2353297311226008,0.6536043389413975,1.1246889601720338,True,0.05
e2esr,g0047,BPG5,4,ok,True,407.292,0.720508480178207,0.7541552090835512,0.6448965471627282,53.3627976875773,True,0.01
tpsr,g0024,strogatz_predprey2,3,ok,True,407.435,0.5468905262020285,0.5510779488940211,0.433170950839082,0.8412036542080057,True,0.1
e2esr,g0050,BPG9,4,ok,True,407.626,0.5197647462799959,0.5755907213851501,0.7565106871109982,1.2775846586305386,True,0.05
tpsr,g0011,Vladislavleva-4,2,ok,True,408.217,0.11097564720335176,0.10177245182697833,0.13718274752129642,0.14934348654626786,True,0.1
e2esr,g0012,feynman_I_27_6,3,ok,True,408.353,0.008784858743489592,0.0082432665497659,0.008764551536196402,0.07681371129603543,True,0.05
tpsr,g0013,feynman-i.43.31,0,ok,True,408.389,0.999804768732375,0.9997967615716207,0.9998104438213975,0.9999639901118438,True,0.01
qlattice,g0015,III.21.20_3_0,2,ok,True,409.172,0.11345661663423703,0.1024095909019347,0.1251952967072068,1.0002965649463549,True,0.01
e2esr,g0001,II.34.2_1_0,1,ok,True,409.347,0.009353078755939784,0.009222654412825852,0.009406584355068635,0.0046703518729203945,True,0.1
e2esr,g0031,II.11.27_1_0,3,ok,True,409.356,0.9838762387472764,0.9433139453047673,0.979416081004282,1.0401322058027969,True,0.1
tpsr,g0002,first_principles_hubble,4,ok,True,409.764,0.13191563934600312,0.1741229145296963,0.24199049725638036,0.1104217726439142,True,0.05
e2esr,g0037,CRK34,2,ok,True,409.855,0.02160398741733244,0.02547740132539957,0.018100678154604748,15.083343276953475,True,0.1
tpsr,g0030,feynman-iii.7.38,2,ok,True,410.042,1.0012932538725043,1.0033031212361672,1.0032039834031337,0.9999977470828193,True,0.05
qlattice,g0001,II.34.2_1_0,1,ok,True,410.292,0.0019311947444282886,0.0020347052073125217,0.0019866860552721086,0.03681587223600766,True,0.1
e2esr,g0025,strogatz_barmag2,3,ok,True,410.507,1.4396433930306882,1.4404842092642713,1.5057029977989516,5.624448207143264,True,0.01
qlattice,g0042,feynman_test_15,3,ok,True,410.761,0.004016632745164953,0.0038997238386546834,0.0040188930971418735,0.027609159366626165,True,0.05
qlattice,g0015,III.21.20_3_0,0,ok,True,411.104,0.12350290443115267,0.11954953398895507,0.13032017590497505,1.000080108861835,True,0.05
e2esr,g0049,BPG3,4,ok,True,411.236,0.007084241143273715,0.012247252536942543,0.007137766745404498,92062482.89667927,True,0.05
qlattice,g0012,feynman_I_27_6,3,ok,True,411.633,0.0029018157532861373,0.0029386477755968007,0.0029145619463095324,0.044691382074753754,True,0.1
e2esr,g0015,III.21.20_3_0,0,ok,True,411.677,0.20205687925362506,0.19688550143189462,0.22062867512821127,1.3316751666183464,True,0.1
e2esr,g0001,II.34.2_1_0,1,ok,True,412.69,0.0037072751039923064,0.003632988956359081,0.003705635075500843,0.013769339048485148,True,0.05
qlattice,g0042,feynman_test_15,0,ok,True,413.132,0.002735076565918299,0.002723899145689219,0.002778874040265971,0.042985292421559664,True,0.05
tpsr,g0035,feynman-i.32.5,3,ok,True,413.351,0.9511855341650282,0.9443665262996735,0.9504326100300575,0.9866733338331861,True,0.05
e2esr,g0031,II.11.27_1_0,0,ok,True,413.61,0.9929923845860869,0.9698762380033652,0.9914341508340879,1.0021360554380172,True,0.05
qlattice,g0012,feynman_I_27_6,2,ok,True,414.089,0.00299941620121781,0.0029644304587270252,0.0030784444517434105,0.018547659970431125,True,0.01
tpsr,g0024,strogatz_predprey2,2,ok,True,414.897,0.2274769424893031,0.11762310058966507,0.11783257655168959,0.452122249695333,True,0.05
tpsr,g0026,strogatz_barmag1,1,ok,True,415.173,0.6994047457944464,0.5958554375068904,0.5243307611623041,0.6461327399149122,True,0.1
qlattice,g0042,feynman_test_15,1,ok,True,415.649,0.002531828080109957,0.0025286645658765443,0.002604909700686791,0.03430599277726689,True,0.05
qlattice,g0042,feynman_test_15,3,ok,True,415.897,0.002367891127477981,0.002346333142247568,0.0023806755770726814,0.029350447697190387,True,0.01
qlattice,g0015,III.21.20_3_0,0,ok,True,416.329,0.0864571085548777,0.10664048478758253,0.08486578836724173,0.999858228610246,True,0.1
tpsr,g0034,CRK11,4,ok,True,416.703,0.9668057420271385,0.9747849129301107,0.9705889177188582,224.50300798135723,True,0.1
tpsr,g0030,feynman-iii.7.38,2,ok,True,416.747,1.0018858081269106,1.0032489022526678,1.0067483296971176,1.000031471177215,True,0.01
qlattice,g0015,III.21.20_3_0,3,ok,True,417.017,0.15376691219470595,0.14592261638605566,0.16419127143163442,0.9999827231018038,True,0.1
tpsr,g0002,first_principles_hubble,4,ok,True,417.75,0.11750990933914454,0.15940863101852878,0.20337574531604197,0.08992609556567793,True,0.1
qlattice,g0015,III.21.20_3_0,2,ok,True,418.05,0.06414640926621704,0.06680960387778058,0.06618742217942278,0.9999273923659657,True,0.05
e2esr,g0046,II.6.15b_3_0,3,ok,True,418.072,0.14528019728169392,0.16748537997325652,0.15166741243804407,0.5660273617801247,True,0.1
tpsr,g0011,Vladislavleva-4,2,ok,True,418.733,0.11102753739182698,0.10164846628251666,0.13733264221112115,0.142687904163776,True,0.01
e2esr,g0050,BPG9,3,ok,True,419.718,0.34015781213325047,0.36584580378570025,0.33275774206858216,224.072719638494,True,0.01
qlattice,g0012,feynman_I_27_6,4,ok,True,419.802,0.0008968867856474405,0.0009067619909528107,0.0008899844438742614,0.018850568210237287,True,0.01
e2esr,g0050,BPG9,0,ok,True,419.883,0.5860008327255368,0.5907008445359694,0.6209129198084397,28.0735426019676,True,0.01
qlattice,g0015,III.21.20_3_0,3,ok,True,420.054,0.12421863567576373,0.11994971386931766,0.13620750771559684,1.0000209550848518,True,0.01
qlattice,g0042,feynman_test_15,0,ok,True,421.092,0.0024436960674173204,0.0023911989954085843,0.0024454813385799312,0.03180512219022209,True,0.01
qlattice,g0031,II.11.27_1_0,2,ok,True,421.148,0.7212885332778617,0.42647146749767934,0.624356242020624,3.717301237582064,True,0.01
tpsr,g0043,CRK33,4,ok,True,421.343,0.8878172690152666,0.8806374023947064,0.8804757171014611,5302.548794148994,True,0.1
e2esr,g0046,II.6.15b_3_0,0,ok,True,421.449,0.23979447408650198,0.18763676096233003,0.1909711926899227,0.23416192241095038,True,0.1
e2esr,g0036,CRK10,4,ok,True,421.648,0.023685806067932653,0.020622947442101,0.025534747816853196,287.52634263583275,True,0.1
qlattice,g0031,II.11.27_1_0,3,ok,True,421.684,0.7543824558517906,0.35021962442411136,0.6893283778588438,1.0857996786045516,True,0.1
tpsr,g0049,BPG3,1,ok,True,421.953,0.009448465349273256,0.006835247315834913,0.011911927788668529,51215661.64118993,True,0.01
tpsr,g0011,Vladislavleva-4,3,ok,True,422.253,0.11103704070871762,0.10167306173213309,0.13732952688007566,0.14305904089553828,True,0.1
qlattice,g0001,II.34.2_1_0,4,ok,True,422.456,7.511983747345607e-05,7.5514534905235e-05,7.514675606023799e-05,8.416667662963337e-05,True,0.05
tpsr,g0005,Keijzer-11,0,ok,True,422.597,0.024569021141785666,1.129156921576287,2.914654879453703,1.9748466488862386,True,0.05
tpsr,g0008,Nguyen-12,4,ok,True,422.627,0.005401775841684091,0.0005163315062027618,0.0006032626566381142,0.05189816598161545,True,0.05
e2esr,g0043,CRK33,4,ok,True,423.204,0.0035543780716016,0.0037977799953402723,0.0033866287439732346,0.8667944345030186,True,0.01
e2esr,g0023,I.11.19_4_0,1,ok,True,423.624,0.010947804574102774,0.010867974828845092,0.01092695280882731,0.02635508400542496,True,0.1
qlattice,g0031,II.11.27_1_0,0,ok,True,423.848,0.7731885504789945,0.9502084295319199,0.7097957433394919,1.1234935154518,True,0.1
tpsr,g0011,Vladislavleva-4,1,ok,True,423.931,0.1110356559993731,0.10166697306400829,0.13734290346714212,0.1435838159012285,True,0.05
qlattice,g0042,feynman_test_15,3,ok,True,424.32,0.0031245002036842284,0.0031129169296375374,0.0031745869028697166,0.05014325937014389,True,0.1
e2esr,g0038,PO19,4,ok,True,424.663,0.04588834273170227,0.05045239154361961,0.05913578141110785,2794567.291205481,True,0.05
e2esr,g0040,feynman-i.29.16,2,ok,True,424.964,0.08209029593140957,0.0883732481222687,0.1063900552693524,0.11075472137073758,True,0.01
e2esr,g0023,I.11.19_4_0,0,ok,True,425.233,0.002280224614650583,0.0022564193255498726,0.002218138592360404,0.00708625988858168,True,0.01
qlattice,g0023,I.11.19_4_0,1,ok,True,425.241,0.014486266396294299,0.015209835684522225,0.014465510180038395,0.056502401688683035,True,0.1
e2esr,g0037,CRK34,2,ok,True,425.296,0.00833750254639243,0.006855446434006774,0.00802471150951297,10.679022342040273,True,0.05
qlattice,g0023,I.11.19_4_0,1,ok,True,425.607,0.015334385703187235,0.0155203292632701,0.015190497440786701,0.06417592312343323,True,0.05
e2esr,g0031,II.11.27_1_0,1,ok,True,425.948,0.98067596780038,0.9588152439939366,0.9838034041811965,77.37959720423264,True,0.05
qlattice,g0012,feynman_I_27_6,1,ok,True,426.136,0.0014434422325065904,0.001431407497699358,0.0014370047280770262,0.023093044491333585,True,0.05
tpsr,g0002,first_principles_hubble,1,ok,True,426.387,0.1161036315464861,0.15258241801958333,0.09999921143901931,0.1080930553977294,True,0.05
tpsr,g0007,Korns-2,4,ok,True,426.464,0.9847024889784417,2.2130594657418765,1.0100769385269144,1.0081528588394704,True,0.01
qlattice,g0042,feynman_test_15,2,ok,True,426.685,0.003699721811631471,0.00375315658687158,0.0037469016813719354,0.03156929278604844,True,0.01
qlattice,g0012,feynman_I_27_6,4,ok,True,426.832,0.0013553913306022605,0.0013365888691986634,0.0013650060641986475,0.021364482395303305,True,0.05
tpsr,g0030,feynman-iii.7.38,0,ok,True,427.015,0.9992669832360785,0.9899033488399989,1.0085328131660671,0.9997833297561798,True,0.05
qlattice,g0046,II.6.15b_3_0,3,ok,True,428.403,0.07107621625205933,0.0812834190862399,0.08017846753993538,0.20217246898327149,True,0.05
e2esr,g0042,feynman_test_15,2,ok,True,428.499,0.0036368317504592972,0.003624578666500557,0.0036052906847311834,0.06501733966426367,True,0.05
qlattice,g0001,II.34.2_1_0,4,ok,True,428.634,0.0038366963805525067,0.003727909194407884,0.0037467273567736996,0.025294232280996427,True,0.01
qlattice,g0012,feynman_I_27_6,1,ok,True,428.966,0.003316296856094619,0.0033374599301844387,0.003286152399499689,0.016098677297400246,True,0.1
qlattice,g0012,feynman_I_27_6,4,ok,True,430.602,0.0007981079824331943,0.0007889374552073681,0.000793777314187476,0.009121070017112275,True,0.1
e2esr,g0047,BPG5,4,ok,True,431.511,0.18747397196790255,0.2031069473588467,0.18693419356549493,178.54497755271987,True,0.1
e2esr,g0016,feynman_II_15_4,2,ok,True,431.987,0.01176032160224977,0.011641253686565009,0.011797517971332399,0.021409898363174022,True,0.1
e2esr,g0040,feynman-i.29.16,2,ok,True,432.292,0.07344356171001298,0.09636594619818323,0.09533740668225442,0.0837075975604432,True,0.05
e2esr,g0040,feynman-i.29.16,4,ok,True,432.718,0.08558389150073428,0.10888498615127971,0.1114405685356412,0.03135878622182124,True,0.1
e2esr,g0041,PO41,3,ok,True,432.889,0.043698343466232595,0.04304103147861661,0.04216486301164559,13814.673588391093,True,0.05
tpsr,g0034,CRK11,2,ok,True,433.196,0.9681186926322379,0.9769936972092271,0.9724611996430153,236.77005219307884,True,0.05
e2esr,g0023,I.11.19_4_0,0,ok,True,433.213,0.0037962038006774186,0.0037043051655305356,0.0037783667836782738,0.023574443603193274,True,0.05
qlattice,g0031,II.11.27_1_0,2,ok,True,433.976,0.8397599036311987,0.42356052782359715,0.7673360014730594,1.0189457721567023,True,0.05
qlattice,g0042,feynman_test_15,1,ok,True,434.053,0.003141415530293239,0.003077173531098584,0.0031615106058014886,0.028774907464279614,True,0.1
qlattice,g0042,feynman_test_15,1,ok,True,434.541,0.0028774787607001033,0.002829952696098776,0.002881290066245074,0.029546159783404594,True,0.01
tpsr,g0010,Nguyen-9,1,ok,True,434.814,0.004392561173845664,0.010307013043223344,0.6486714114269164,0.011445698897511052,True,0.1
tpsr,g0050,BPG9,0,ok,True,434.893,0.9021975271630599,0.9228859403176742,0.8856381373555462,386.0036782267267,True,0.1
e2esr,g0039,CRK0,4,ok,True,434.907,0.011477443976862267,0.011005111653424934,0.011708070462696908,2.636966534796514,True,0.1
qlattice,g0031,II.11.27_1_0,2,ok,True,435.406,0.7970563009496391,0.5527349192819748,0.7726661622369049,1.1227042561746086,True,0.1
e2esr,g0040,feynman-i.29.16,1,ok,True,435.596,0.07236566111948149,0.0927303391854376,0.0948972241031078,0.05187394230749841,True,0.1
e2esr,g0041,PO41,4,ok,True,436.074,0.046675791276679465,0.04526526029656351,0.037203905409343395,26382.630760385717,True,0.01
qlattice,g0046,II.6.15b_3_0,2,ok,True,436.253,0.08231833533722015,0.09682773240218226,0.09279258614733812,0.2555035119617438,True,0.05
e2esr,g0042,feynman_test_15,3,ok,True,436.568,0.002870360896097876,0.0027457712066874707,0.0028214966868343894,0.014675491917374803,True,0.05
e2esr,g0039,CRK0,4,ok,True,436.712,0.0018602465362931027,0.0018455890699549161,0.0015774819983336423,0.18557944109834668,True,0.01
qlattice,g0001,II.34.2_1_0,2,ok,True,436.925,0.0025065200683462613,0.0025598821266942908,0.0025125547923755013,0.030131862761767037,True,0.1
qlattice,g0042,feynman_test_15,4,ok,True,437.113,0.0028671433763126698,0.0028774456244110977,0.002925224443896838,0.04099110719127722,True,0.1
qlattice,g0031,II.11.27_1_0,1,ok,True,438.996,0.8685036594578344,0.6181618696922758,0.8411179540427752,1.0320626282950325,True,0.05
qlattice,g0023,I.11.19_4_0,4,ok,True,439.107,0.016979605934332828,0.017123327167698998,0.016827271036452155,0.08375144803336237,True,0.05
e2esr,g0040,feynman-i.29.16,1,ok,True,439.354,0.09125581434409129,0.10794168525438463,0.11499473877087871,0.039541242083247,True,0.05
tpsr,g0050,BPG9,4,ok,True,439.371,0.9022216100135854,0.9231085340956405,0.8854600286577081,390.16556436678576,True,0.1
e2esr,g0027,feynman_I_12_11,3,ok,True,439.853,0.0116016983553812,0.012064648442696118,0.011590764742860265,0.0564481945972501,True,0.1
e2esr,g0028,feynman-ii.4.23,0,ok,True,439.999,0.01076004526985999,0.013066769807807556,0.009153310345205362,0.007646852753045905,True,0.01
e2esr,g0047,BPG5,0,ok,True,440.033,0.08369951339916301,0.09889384772274848,0.07724785024441434,558.2734951242257,True,0.01
e2esr,g0046,II.6.15b_3_0,3,ok,True,440.185,0.11986427185894245,0.14145245439117515,0.12466426289496332,0.17382273564557624,True,0.05
e2esr,g0046,II.6.15b_3_0,3,ok,True,440.292,0.2552676075035667,0.28192530675938926,0.2523405259438324,0.17656832245452503,True,0.01
e2esr,g0023,I.11.19_4_0,3,ok,True,440.42,0.0071741282377757835,0.006903891444802343,0.007317103297117332,0.03179104707763921,True,0.05
tpsr,g0049,BPG3,4,ok,True,440.491,0.02890686977182043,0.02198597948123341,0.0366059102499295,14648623.361141589,True,0.01
tpsr,g0030,feynman-iii.7.38,3,ok,True,440.801,1.0012523314498658,1.0013823480029025,1.0054603190742462,0.999963849218981,True,0.01
e2esr,g0046,II.6.15b_3_0,2,ok,True,441.204,0.20541666058908556,0.48665856493056014,0.21533365373383198,0.5384760147413432,True,0.05
e2esr,g0028,feynman-ii.4.23,3,ok,True,441.303,0.07442670615037274,0.09210169727822175,0.06778064865577116,0.1341905316769835,True,0.1
e2esr,g0015,III.21.20_3_0,3,ok,True,441.678,0.07924538056533031,0.09092962687052986,0.08903098622769548,1.1045270328600416,True,0.05
qlattice,g0031,II.11.27_1_0,3,ok,True,441.812,0.8129638671884458,0.39631036900071837,0.7278034353766272,1.0299573711404502,True,0.01
e2esr,g0028,feynman-ii.4.23,2,ok,True,442.753,0.04149199666510975,0.04576203037516995,0.037119603468331104,0.12394274120108006,True,0.1
qlattice,g0042,feynman_test_15,4,ok,True,442.77,0.0028234636271709493,0.0027400130271281286,0.0028473084964331335,0.03165712991912367,True,0.01
e2esr,g0040,feynman-i.29.16,3,ok,True,442.899,0.09645240891761954,0.12092081788962009,0.13742520276122336,0.011867444795039907,True,0.01
tpsr,g0013,feynman-i.43.31,3,ok,True,443.332,0.7135865364900809,0.7044388446133901,0.7182606925401678,0.8454575150289855,True,0.1
tpsr,g0049,BPG3,0,ok,True,444.479,0.2103049997947354,0.21186112191452391,0.2145297266206136,110718.57198867037,True,0.1
qlattice,g0023,I.11.19_4_0,4,ok,True,444.799,0.01757915901872452,0.017711384806414807,0.01753777883330204,0.0683373621902862,True,0.1
qlattice,g0042,feynman_test_15,2,ok,True,444.851,0.0029155843804470026,0.00283985323947585,0.0029344266806576817,0.03224594648853549,True,0.05
tpsr,g0013,feynman-i.43.31,1,ok,True,444.917,0.7064293454496124,0.6900544869836367,0.7061510383534321,0.8392358953027268,True,0.1
tpsr,g0038,PO19,0,ok,True,446.867,0.028373039014914444,0.03117309440242164,0.03463996708447075,373311.85967850685,True,0.05
e2esr,g0039,CRK0,4,ok,True,447.239,0.004553683217660337,0.004681826076666169,0.004117277927858451,1.0590036835218932,True,0.05
e2esr,g0040,feynman-i.29.16,3,ok,True,447.367,0.08599341248770115,0.10958771728137048,0.11586919941360412,0.051840127243393916,True,0.05
qlattice,g0012,feynman_I_27_6,3,ok,True,447.841,0.0012283047404980831,0.00124478978280344,0.0012515194297443026,0.01966841533961147,True,0.05
e2esr,g0023,I.11.19_4_0,2,ok,True,448.082,0.0072413613102379265,0.007292692043284704,0.007262255432950536,0.030838177595604564,True,0.05
e2esr,g0023,I.11.19_4_0,4,ok,True,448.834,0.011819996801134566,0.01150126539275763,0.011929626693676995,0.03307481982142799,True,0.1
e2esr,g0012,feynman_I_27_6,2,ok,True,449.784,0.005539409462477523,0.005482967585828804,0.0056853264899226754,0.05819250962223164,True,0.05
qlattice,g0001,II.34.2_1_0,1,ok,True,451.244,0.010721083667524403,0.010831235078439042,0.010771800244744114,0.029288245182828732,True,0.01
e2esr,g0016,feynman_II_15_4,4,ok,True,454.028,0.012840614103893066,0.012564233901285023,0.013250331346151922,0.019325052954325683,True,0.1
qlattice,g0023,I.11.19_4_0,4,ok,True,454.127,0.015438642117126231,0.015367870423877855,0.01540710541730823,0.06325774574551749,True,0.01
tpsr,g0030,feynman-iii.7.38,1,ok,True,455.085,1.0025164688977104,1.0063063492617776,1.0037023302061119,1.00002326724423,True,0.1
tpsr,g0016,feynman_II_15_4,0,ok,True,455.286,0.626825286345221,0.627924852390874,0.6351836944604804,2.14251515297256,True,0.05
qlattice,g0042,feynman_test_15,4,ok,True,455.992,0.0027383363235323867,0.002683493901378311,0.0027587895443573754,0.03289913534889601,True,0.05
qlattice,g0003,feynman-ii.27.18,1,ok,True,457.326,0.07670436104094426,0.0798325734052947,0.07281686186847366,0.14914631673601325,True,0.1
e2esr,g0015,III.21.20_3_0,2,ok,True,457.346,0.013117969091112631,0.015572016437403687,0.0154627672978465,1.0764090827485073,True,0.01
qlattice,g0029,strogatz_vdp1,2,ok,True,457.578,0.00013462689555035248,0.00018171985153200685,9.485565543120444e-05,9.89469038114334e-05,True,0.01
qlattice,g0031,II.11.27_1_0,1,ok,True,457.6,0.7492501102682487,0.33553003196989023,0.7082294821201736,1.0657904952133714,True,0.1
e2esr,g0042,feynman_test_15,2,ok,True,457.621,0.0060118218635337745,0.00607529951001088,0.006052092595616838,0.06908251735462409,True,0.1
tpsr,g0035,feynman-i.32.5,4,ok,True,457.968,0.9511396278450943,0.944334578714488,0.9503905392736027,0.9866478737642466,True,0.01
e2esr,g0015,III.21.20_3_0,3,ok,True,460.829,0.012539518182361698,0.010798560278672827,0.01327432668033831,1.1316362027792053,True,0.01
tpsr,g0003,feynman-ii.27.18,3,ok,True,461.024,0.7976661312789487,0.8610390144335196,0.8016107326475157,10.222345618767061,True,0.1
tpsr,g0030,feynman-iii.7.38,3,ok,True,461.366,1.0024605917141196,1.0039465979818505,1.0071292846957034,0.999991303809805,True,0.05
e2esr,g0040,feynman-i.29.16,3,ok,True,461.959,0.07841005092942939,0.1044512589373353,0.09893564591465473,0.07540048983228363,True,0.1
qlattice,g0042,feynman_test_15,2,ok,True,462.624,0.0030052914864549204,0.0030517165428842873,0.003052389876828714,0.053622663638333554,True,0.1
