global_index,dataset_name,dataset_dir,dataset_rel,family,subgroup,basename,pool,selection_mode,candidate_advantage_side,train_csv,valid_csv,id_test_csv,ood_test_csv,metadata_yaml,formula_py
32,feynman-i.41.16,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.41.16,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.41.16,srsd,srsd/srsd-feynman_hard_dummy,feynman-i.41.16,A,strict,llmsr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.41.16/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.41.16/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.41.16/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.41.16/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.41.16/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.41.16/formula.py
33,feynman-iii.4.33,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33,srsd,srsd/srsd-feynman_hard,feynman-iii.4.33,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-iii.4.33/formula.py
34,feynman-iii.4.33,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33,srsd,srsd/srsd-feynman_hard_dummy,feynman-iii.4.33,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-iii.4.33/formula.py
35,feynman-i.37.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.37.4,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.37.4,srsd,srsd/srsd-feynman_hard_dummy,feynman-i.37.4,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.37.4/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.37.4/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.37.4/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.37.4/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.37.4/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.37.4/formula.py
36,feynman-ii.37.1,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.37.1,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.37.1,srsd,srsd/srsd-feynman_medium_dummy,feynman-ii.37.1,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.37.1/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.37.1/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.37.1/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.37.1/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.37.1/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.37.1/formula.py
37,PO14,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO14,sim-datasets-data/llm-srbench/phys_osc/PO14,llm-srbench,llm-srbench/phys_osc,PO14,A,strict,llmsr,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO14/train.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO14/valid.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO14/id_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO14/ood_test.csv,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO14/metadata.yaml,/home/anonymous/sim-datasets-data/llm-srbench/phys_osc/PO14/formula.py
38,feynman-i.44.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.44.4,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.44.4,srsd,srsd/srsd-feynman_hard_dummy,feynman-i.44.4,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.44.4/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.44.4/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.44.4/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.44.4/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.44.4/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.44.4/formula.py
39,feynman-ii.11.3,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3,srsd,srsd/srsd-feynman_medium_dummy,feynman-ii.11.3,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.11.3/formula.py
40,feynman-bonus.16,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.16,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.16,srsd,srsd/srsd-feynman_hard_dummy,feynman-bonus.16,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.16/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.16/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.16/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.16/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.16/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.16/formula.py
41,feynman-bonus.11,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.11,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.11,srsd,srsd/srsd-feynman_hard_dummy,feynman-bonus.11,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.11/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.11/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.11/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.11/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.11/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.11/formula.py
42,feynman-bonus.5,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5,srsd,srsd/srsd-feynman_hard,feynman-bonus.5,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.5/formula.py
43,feynman-i.18.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.18.4,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.18.4,srsd,srsd/srsd-feynman_medium_dummy,feynman-i.18.4,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.18.4/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.18.4/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.18.4/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.18.4/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.18.4/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.18.4/formula.py
44,feynman-bonus.5,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5,srsd,srsd/srsd-feynman_hard_dummy,feynman-bonus.5,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.5/formula.py
45,feynman-i.11.19,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19,srsd,srsd/srsd-feynman_medium_dummy,feynman-i.11.19,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19/formula.py
46,feynman-ii.15.4,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.15.4,sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.15.4,srsd,srsd/srsd-feynman_easy,feynman-ii.15.4,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.15.4/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.15.4/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.15.4/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.15.4/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.15.4/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.15.4/formula.py
47,feynman-i.15.3x,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.15.3x,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.15.3x,srsd,srsd/srsd-feynman_hard_dummy,feynman-i.15.3x,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.15.3x/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.15.3x/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.15.3x/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.15.3x/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.15.3x/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.15.3x/formula.py
48,feynman-bonus.17,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.17,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.17,srsd,srsd/srsd-feynman_hard,feynman-bonus.17,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.17/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.17/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.17/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.17/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.17/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.17/formula.py
49,feynman-iii.15.27,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.15.27,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.15.27,srsd,srsd/srsd-feynman_easy_dummy,feynman-iii.15.27,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.15.27/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.15.27/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.15.27/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.15.27/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.15.27/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.15.27/formula.py
50,feynman-i.24.6,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.24.6,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.24.6,srsd,srsd/srsd-feynman_medium_dummy,feynman-i.24.6,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.24.6/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.24.6/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.24.6/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.24.6/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.24.6/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.24.6/formula.py
51,feynman-bonus.10,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10,srsd,srsd/srsd-feynman_hard_dummy,feynman-bonus.10,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10/formula.py
52,feynman-i.18.12,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12,srsd,srsd/srsd-feynman_easy_dummy,feynman-i.18.12,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12/formula.py
53,feynman-ii.8.7,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7,srsd,srsd/srsd-feynman_medium_dummy,feynman-ii.8.7,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7/formula.py
54,feynman_II_2_42,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42,sim-datasets-data/srbench1.0/feynman/feynman_II_2_42,srbench1.0,srbench1.0/feynman,feynman_II_2_42,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_2_42/formula.py
55,feynman_II_34_11,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11,sim-datasets-data/srbench1.0/feynman/feynman_II_34_11,srbench1.0,srbench1.0/feynman,feynman_II_34_11,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_34_11/formula.py
56,feynman_II_15_5,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5,sim-datasets-data/srbench1.0/feynman/feynman_II_15_5,srbench1.0,srbench1.0/feynman,feynman_II_15_5,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_15_5/formula.py
57,feynman_III_17_37,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37,sim-datasets-data/srbench1.0/feynman/feynman_III_17_37,srbench1.0,srbench1.0/feynman,feynman_III_17_37,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_III_17_37/formula.py
58,feynman_II_36_38,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38,sim-datasets-data/srbench1.0/feynman/feynman_II_36_38,srbench1.0,srbench1.0/feynman,feynman_II_36_38,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_36_38/formula.py
59,feynman_II_38_3,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3,sim-datasets-data/srbench1.0/feynman/feynman_II_38_3,srbench1.0,srbench1.0/feynman,feynman_II_38_3,A,strict,pysr,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/train.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/valid.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/id_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/ood_test.csv,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/metadata.yaml,/home/anonymous/sim-datasets-data/srbench1.0/feynman/feynman_II_38_3/formula.py
60,feynman-i.27.6,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6,srsd,srsd/srsd-feynman_easy_dummy,feynman-i.27.6,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6/formula.py
61,feynman-ii.38.3,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3,srsd,srsd/srsd-feynman_easy_dummy,feynman-ii.38.3,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3/formula.py
62,Keijzer-7,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7,sim-datasets-data/keijzer/Keijzer-7,keijzer,keijzer,Keijzer-7,A,strict,pysr,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/train.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/valid.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/id_test.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/ood_test.csv,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/metadata.yaml,/home/anonymous/sim-datasets-data/keijzer/Keijzer-7/formula.py
63,feynman-bonus.11,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11,srsd,srsd/srsd-feynman_hard,feynman-bonus.11,A,strict,pysr,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/train.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/valid.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/id_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/ood_test.csv,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/metadata.yaml,/home/anonymous/sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11/formula.py
